y(keV/um)    e-           Hprim            Hsec            He           Li           Be           B            C            Other        Total[yd(y)]
5.3176e+02   1.3759e-02   0.0000e+00   3.8854e-05   1.2423e-04   3.7164e-05   1.5244e-04   7.7513e-04   5.7665e-02   9.0255e-04   7.3454e-02   
5.9665e+02   1.1497e-02   0.0000e+00   3.9689e-05   1.1436e-04   3.7257e-05   8.9610e-05   7.3006e-04   5.1431e-02   1.1207e-03   6.5060e-02   
6.6945e+02   9.5376e-03   0.0000e+00   3.5650e-05   1.1635e-04   2.6084e-05   1.1771e-04   5.9940e-04   4.6508e-02   1.2172e-03   5.8158e-02   
7.5114e+02   7.4748e-03   0.0000e+00   3.4470e-05   9.3768e-05   1.3175e-05   1.1002e-04   5.2261e-04   4.2154e-02   1.2212e-03   5.1624e-02   
8.4279e+02   5.6203e-03   0.0000e+00   2.3776e-05   7.1444e-05   4.0636e-06   2.9616e-05   5.1243e-04   3.9448e-02   1.0665e-03   4.6777e-02   
9.4563e+02   4.1515e-03   0.0000e+00   2.1855e-05   5.7796e-05   5.5167e-06   4.5911e-05   6.3753e-04   3.9678e-02   1.3121e-03   4.5911e-02   
1.0610e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.1905e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.3357e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.4987e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.6816e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
